7Z
AVI
AVIF
APK
BIN
BMP
BZ2
CLASS
CSS
CSV
DOC
DOCX
DMG
EJS
EOT
EPS
EXE
FLAC
GIF
GZ
ICO
ISO
JAR
JPG
JPEG
JS
MID
MIDI
MKV
MP3
MP4
OGG
OTF
PDF
PICT
PLS
PNG
PPT
PPTX
PS
RAR
SVG
SVGZ
SWF
TAR
TIF
TIFF
TTF
WEBM
WEBP
WOFF
WOFF2
XLS
XLSX
ZIP
ZST
